scenario,strategy,seed,instance,t_ev,f1_base,f1_event,deg_pct,timeout,response_ms,replan_evals,warn_t,warn_agv,n_warned,n_agv,event_fired,replan_applied,maint_enter
congestion,EHCO,1,0,150.0,337.0,588.0,74.4807121661721,0,137.26740000129212,4000,None,None,0,10,1,0,
congestion,A*-GA,1,0,150.0,313.0,635.0,102.87539936102237,0,,,None,None,0,10,1,0,
congestion,EHCO,2,0,150.0,307.0,574.0,86.97068403908796,0,135.77490000170656,4000,None,None,0,10,1,1,
congestion,A*-GA,2,0,150.0,304.0,628.0,106.57894736842107,0,,,None,None,0,10,1,0,
congestion,EHCO,3,0,150.0,303.0,552.0,82.17821782178217,0,125.60389999998733,4000,None,None,0,10,1,1,
congestion,A*-GA,3,0,150.0,304.0,561.0,84.53947368421053,0,,,None,None,0,10,1,0,
congestion,EHCO,4,0,150.0,299.0,519.0,73.57859531772574,0,128.34319999819854,4000,None,None,0,10,1,0,
congestion,A*-GA,4,0,150.0,302.0,559.0,85.09933774834437,0,,,None,None,0,10,1,0,
congestion,EHCO,5,0,150.0,321.0,569.0,77.25856697819314,0,131.0144999952172,4000,None,None,0,10,1,0,
congestion,A*-GA,5,0,150.0,318.0,639.0,100.9433962264151,0,,,None,None,0,10,1,0,
congestion,EHCO,6,0,150.0,352.0,592.0,68.18181818181817,0,124.10040000395384,4000,None,None,0,10,1,1,
congestion,A*-GA,6,0,150.0,312.0,638.0,104.48717948717949,0,,,None,None,0,10,1,0,
congestion,EHCO,7,0,150.0,305.0,556.0,82.29508196721311,0,125.94420000095852,4000,None,None,0,10,1,0,
congestion,A*-GA,7,0,150.0,313.0,621.0,98.40255591054313,0,,,None,None,0,10,1,0,
congestion,EHCO,8,0,150.0,347.0,708.0,104.03458213256485,0,131.87449999531964,4000,None,None,0,10,1,0,
congestion,A*-GA,8,0,150.0,312.0,572.0,83.33333333333334,0,,,None,None,0,10,1,0,
congestion,EHCO,9,0,150.0,317.0,622.0,96.21451104100946,0,123.52490000193939,4000,None,None,0,10,1,1,
congestion,A*-GA,9,0,150.0,303.0,553.0,82.50825082508251,0,,,None,None,0,10,1,0,
congestion,EHCO,10,0,150.0,292.0,541.0,85.27397260273972,0,125.32729999657022,4000,None,None,0,10,1,1,
congestion,A*-GA,10,0,150.0,278.0,518.0,86.33093525179856,0,,,None,None,0,10,1,0,
congestion,EHCO,11,0,150.0,454.0,508.0,11.894273127753303,0,133.30750000022817,4000,None,None,0,10,1,1,
congestion,A*-GA,11,0,150.0,310.0,594.0,91.61290322580645,0,,,None,None,0,10,1,0,
