scenario,strategy,seed,instance,t_ev,f1_base,f1_event,deg_pct,timeout,response_ms,replan_evals,warn_t,warn_agv,n_warned,n_agv,event_fired,replan_applied,maint_enter
congestion,EHCO,1,0,150.0,316.0,563.0,78.16455696202532,0,769.5835999998053,4000.0,None,None,0,10,1,0,
congestion,A*-GA,1,0,150.0,313.0,635.0,102.87539936102237,0,None,None,None,None,0,10,1,0,
congestion,EHCO,2,0,150.0,325.0,531.0,63.38461538461539,0,730.7448999999906,4000.0,None,None,0,10,1,0,
congestion,A*-GA,2,0,150.0,304.0,628.0,106.57894736842107,0,None,None,None,None,0,10,1,0,
congestion,EHCO,3,0,150.0,307.0,667.0,117.26384364820848,0,734.4810999998117,4000.0,None,None,0,10,1,1,
congestion,A*-GA,3,0,150.0,304.0,561.0,84.53947368421053,0,None,None,None,None,0,10,1,0,
congestion,EHCO,4,0,150.0,394.0,529.0,34.263959390862944,0,410.9901000001628,4000.0,None,None,0,10,1,1,
congestion,A*-GA,4,0,150.0,302.0,559.0,85.09933774834437,0,None,None,None,None,0,10,1,0,
congestion,EHCO,5,0,150.0,334.0,591.0,76.94610778443113,0,712.7643000003445,4000.0,None,None,0,10,1,0,
congestion,A*-GA,5,0,150.0,318.0,639.0,100.9433962264151,0,None,None,None,None,0,10,1,0,
congestion,EHCO,6,0,150.0,297.0,558.0,87.87878787878788,0,577.9402999996819,4000.0,None,None,0,10,1,0,
congestion,A*-GA,6,0,150.0,312.0,638.0,104.48717948717949,0,None,None,None,None,0,10,1,0,
congestion,EHCO,7,0,150.0,355.0,757.0,113.23943661971832,0,697.4583999999595,4000.0,None,None,0,10,1,1,
congestion,A*-GA,7,0,150.0,313.0,621.0,98.40255591054313,0,None,None,None,None,0,10,1,0,
congestion,EHCO,8,0,150.0,350.0,485.0,38.57142857142858,0,749.9841999997443,4000.0,None,None,0,10,1,1,
congestion,A*-GA,8,0,150.0,312.0,572.0,83.33333333333334,0,None,None,None,None,0,10,1,0,
congestion,EHCO,9,0,150.0,373.0,666.0,78.55227882037534,0,301.72899999979563,4000.0,None,None,0,10,1,1,
congestion,A*-GA,9,0,150.0,303.0,553.0,82.50825082508251,0,None,None,None,None,0,10,1,0,
congestion,EHCO,10,0,150.0,284.0,515.0,81.33802816901408,0,556.0689000003549,4000.0,None,None,0,10,1,1,
congestion,A*-GA,10,0,150.0,278.0,518.0,86.33093525179856,0,None,None,None,None,0,10,1,0,
congestion,EHCO,11,0,150.0,321.0,711.0,121.49532710280373,0,673.6265000004096,4000.0,None,None,0,10,1,1,
congestion,A*-GA,11,0,150.0,310.0,594.0,91.61290322580645,0,None,None,None,None,0,10,1,0,
congestion,EHCO,12,0,150.0,313.0,530.0,69.32907348242811,0,639.6081999996568,4000.0,None,None,0,10,1,1,
congestion,A*-GA,12,0,150.0,310.0,559.0,80.3225806451613,0,None,None,None,None,0,10,1,0,
congestion,EHCO,13,0,150.0,312.0,595.0,90.7051282051282,0,928.70640000001,4000.0,None,None,0,10,1,0,
congestion,A*-GA,13,0,150.0,294.0,552.0,87.75510204081633,0,None,None,None,None,0,10,1,0,
congestion,EHCO,14,0,150.0,280.0,520.0,85.71428571428571,0,646.1898999996265,4000.0,None,None,0,10,1,1,
congestion,A*-GA,14,0,150.0,296.0,518.0,75.0,0,None,None,None,None,0,10,1,0,
congestion,EHCO,15,0,150.0,369.0,654.0,77.23577235772358,0,573.0282999998053,4000.0,None,None,0,10,1,1,
congestion,A*-GA,15,0,150.0,301.0,596.0,98.00664451827242,0,None,None,None,None,0,10,1,0,
congestion,EHCO,16,0,150.0,300.0,626.0,108.66666666666667,0,642.2316000002866,4000.0,None,None,0,10,1,0,
congestion,A*-GA,16,0,150.0,297.0,577.0,94.27609427609428,0,None,None,None,None,0,10,1,0,
congestion,EHCO,17,0,150.0,391.0,577.0,47.570332480818415,0,601.2195000002976,4000.0,None,None,0,10,1,1,
congestion,A*-GA,17,0,150.0,294.0,604.0,105.44217687074831,0,None,None,None,None,0,10,1,0,
congestion,EHCO,18,0,150.0,428.0,760.0,77.57009345794393,0,660.8292000000802,4000.0,None,None,0,10,1,1,
congestion,A*-GA,18,0,150.0,314.0,660.0,110.19108280254777,0,None,None,None,None,0,10,1,0,
congestion,EHCO,19,0,150.0,308.0,603.0,95.77922077922078,0,623.432800000046,4000.0,None,None,0,10,1,1,
congestion,A*-GA,19,0,150.0,298.0,518.0,73.8255033557047,0,None,None,None,None,0,10,1,0,
congestion,EHCO,20,0,150.0,399.0,644.0,61.40350877192983,0,586.0186999998405,4000.0,None,None,0,10,1,1,
congestion,A*-GA,20,0,150.0,299.0,565.0,88.96321070234113,0,None,None,None,None,0,10,1,0,
congestion,EHCO,21,0,150.0,337.0,726.0,115.43026706231454,0,645.9273999998913,4000.0,None,None,0,10,1,1,
congestion,A*-GA,21,0,150.0,304.0,600.0,97.36842105263158,0,None,None,None,None,0,10,1,0,
congestion,EHCO,22,0,150.0,344.0,553.0,60.75581395348837,0,511.09039999982997,4000.0,None,None,0,10,1,1,
congestion,A*-GA,22,0,150.0,307.0,515.0,67.75244299674267,0,None,None,None,None,0,10,1,0,
congestion,EHCO,23,0,150.0,357.0,802.0,124.64985994397759,0,663.0736000001889,4000.0,None,None,0,10,1,1,
congestion,A*-GA,23,0,150.0,319.0,559.0,75.23510971786834,0,None,None,None,None,0,10,1,0,
congestion,EHCO,24,0,150.0,275.0,483.0,75.63636363636364,0,624.1032999996605,4000.0,None,None,0,10,1,0,
congestion,A*-GA,24,0,150.0,293.0,545.0,86.00682593856655,0,None,None,None,None,0,10,1,0,
congestion,EHCO,25,0,150.0,356.0,375.0,5.337078651685393,0,649.5051000001695,4000.0,None,None,0,10,1,1,
congestion,A*-GA,25,0,150.0,292.0,555.0,90.06849315068493,0,None,None,None,None,0,10,1,0,
congestion,EHCO,26,0,150.0,285.0,442.0,55.08771929824562,0,667.721000000256,4000.0,None,None,0,10,1,1,
congestion,A*-GA,26,0,150.0,276.0,498.0,80.43478260869566,0,None,None,None,None,0,10,1,0,
congestion,EHCO,27,0,150.0,473.0,901.0,90.48625792811839,0,709.8656000002848,4000.0,None,None,0,10,1,1,
congestion,A*-GA,27,0,150.0,304.0,611.0,100.98684210526316,0,None,None,None,None,0,10,1,0,
congestion,EHCO,28,0,150.0,335.0,555.0,65.67164179104478,0,676.069500000267,4000.0,None,None,0,10,1,1,
congestion,A*-GA,28,0,150.0,321.0,573.0,78.50467289719626,0,None,None,None,None,0,10,1,0,
congestion,EHCO,29,0,150.0,348.0,589.0,69.25287356321839,0,635.4366000000482,4000.0,None,None,0,10,1,1,
congestion,A*-GA,29,0,150.0,305.0,615.0,101.63934426229508,0,None,None,None,None,0,10,1,0,
